claim_id,policyholder_name,policy_id,location,incident_date,damage_type,claim_text_summary,estimated_payout,is_fraud
C000000,LISA HOLLAND,P24795,QLD,2025-04-28,Front-end Collision,"Pm town dog lot.
Former front stage sit remain war everything ground. Teacher event teacher beautiful stock plan. Arrive school understand without ten.",3828.67,0
C000001,Allen Green,P88887,WA,"Dec 27, 2023",Rear-end Collision,Learn husband way case. Deep tell their follow drive firm task.,2472.78,1
C000002,Hannah Mendoza,P66652,,2023-06-28,Front-end Collision,Ok foot live road. Day hotel trip machine source foreign front.,1245.79,0
C000003,Matthew Davis,P81897,NSW,"Oct 14, 2023",Hail Damage,Pick blood thought tough. Memory table two interest walk kid speech.,2304.8,0
C000004,SAMUEL JAMES,P73200,SA,29/11/2024,Hail Damage,Maybe beyond draw soon we. Woman heart less one pressure well. Whatever near become form arm generation. City maybe shake line institution contain big strong.,5502.36,0
C000005,Deborah Riley,P43855,QLD,2024-02-19,Hail Damage,"Minute better idea guy weight. Debate arm this beat rule. Fund treatment week.
Production remain learn consider six difference enter. Entire police color prepare.",1734.74,1
C000006,Jessica Smith,P43196,WA,"Apr 03, 2024",Water Damage,"Area data conference law. Change involve various eat challenge.
Present speak else positive when. Debate style yourself consider.",3729.65,0
C000007,Anna Johnson,P84069,WA,17/10/2023,Front-end Collision,Director yourself suggest must item child. Determine environmental section improve bill rich draw. Civil agreement Mr magazine.,763.11,0
C000008,John Sullivan,P75114,VIC,14/01/2024,Hail Damage,Information tend theory reach health win authority only. In remain bring in lawyer. Near art whose take the special page.,3888.25,1
C000009,HEATHER MOORE,P93549,,2023-12-22,Hail Damage,"Any plan entire against land catch. Occur but system southern less eight.
Others beat different. Realize or true question better wife know. Meet send ready surface.",2881.45,0
C000010,Amy Dunn,P22613,VIC,"Sep 05, 2023",Water Damage,Indeed mean quickly society lose care. Operation operation call market between wall move wind. Large open team despite hospital kind.,4805.07,1
C000011,Luke Dennis,P74929,QLD,13/11/2023,Vandalism,"Together behind record yet. Owner represent former loss.
As may kind address check subject local. State just picture. Song hand community language official.",1950.92,1
C000012,Valerie Jones,P35723,QLD,"Aug 18, 2023",Front-end Collision,Such social management whole. Exist rise blue interview. Record stop administration prove pretty.,4308.58,0
C000013,Mike Duke,P73878,QLD,22/02/2024,Water Damage,Lead former spend action. Together television between produce these career color.,3654.25,0
C000014,RONALD HERNANDEZ,P57758,QLD,2024-09-15,Front-end Collision,Court way administration theory skill market. Will fill speech cost. Either contain husband establish art tax kitchen risk.,3317.51,0
C000015,George Ortiz,P96775,QLD,15/05/2024,Water Damage,"Lose especially either recent. From huge media discuss case between last. Song push always ability allow.
Teach involve fact bad discussion.",4556.5,0
C000016,Ariana Hill,P26764,NSW,03/07/2023,Rear-end Collision,Some wide above option employee. Center require argue various foreign admit stock. On because resource end close spend left person.,-182.58,0
C000017,REBECCA JONES,P32575,NSW,2023-11-03,Rear-end Collision,Including early deep long. Radio mother song time option follow truth. Mission find mouth sometimes I firm difficult reality.,4115.11,0
C000018,Mary Davis,P55197,NSW,2023-11-01,Front-end Collision,"Bill after role many trip. More sort against citizen avoid room campaign. Decision sense whose really.
Large throughout around continue. Beyond key carry character college kid.",3081.23,0
C000019,JONATHAN NELSON,P42006,,30/11/2024,Water Damage,Debate yes because professor agent move term. Financial life trial development. Way source share someone many cell. Music then thank.,2787.26,0
C000020,Shane Burgess,P52383,VIC,2024-11-12,Water Damage,Prove front world drive different. Finally likely house. Contain discussion spend same issue.,6204.48,0
C000021,JOSHUA TAYLOR,P65401,VIC,2024-10-27,Vandalism,Statement work economy war crime popular. Forward white friend name.,,0
C000022,Randy May,P67071,,29/04/2024,Front-end Collision,One real little win. Work president leave cold a blue attack five. Hear away realize foreign necessary think. Knowledge especially sit lawyer.,4110.78,0
C000023,Logan Bennett,P80311,,09/03/2025,Rear-end Collision,"Wall house read job. Court budget concern economic prevent hear. Yourself ground join quickly from.
Century relationship plan customer guy. Go past home oil outside forget toward.",1752.12,0
C000024,David Herring,P59173,NSW,"Apr 01, 2024",Vandalism,Relationship leader scientist check. Daughter film two day. Memory live certain trial enjoy maybe situation.,2285.7,0
C000025,Vanessa Carrillo,P75318,QLD,26/09/2024,Hail Damage,"Offer successful soldier computer event memory. Reduce difference almost.
Deep statement keep expect more. Eat age executive some part. Go seem Republican push art hot apply.",4764.73,0
C000026,DONNA WALKER,P68789,,"Dec 25, 2023",Rear-end Collision,"Inside near study analysis force send. Hear attorney letter glass.
Because dream close best rule company. Interview development hit light. Available final deep enter.",4162.54,1
C000027,Ms. Karen Michael Dvm,P51161,WA,2024-04-05,Hail Damage,Note hear special event record worker large. Able source point right study detail table. Stage brother cultural. With reflect second open half hair.,3194.01,0
C000028,Anna Steele,P43549,,"May 08, 2024",Front-end Collision,"Public show response.
Provide month billion industry. According arrive large memory citizen guess from. Spend dream large wind themselves wear sometimes sister.",2747.22,0
C000029,Anthony Miller,P37154,TAS,"Jan 10, 2025",Front-end Collision,Even contain cover leader look. Though material decision early join treat especially. Would company expect hospital off enough.,2856.52,0
C000030,Carrie Wade,P71882,SA,31/05/2024,Hail Damage,"Go bit dark poor. Fine me friend involve.
Join purpose low power head likely have. Resource skill dog cultural. Just eight recent final always. Rule pressure theory grow spring.",3038.86,0
C000031,Katherine Gardner,P30239,TAS,2023-11-25,Hail Damage,"Whether cover test action consumer. Less hold second edge investment owner business.
Able early build child. Performance data ten southern goal add.",1407.15,0
C000032,Sydney Martin,P27665,QLD,2024-04-06,Rear-end Collision,"Paper year general ask authority benefit be small. Point million nearly read our ground more. Later stuff far.
Big attack fine. Training until party.",1915.89,1
C000033,Virginia Pearson,P78541,TAS,31/08/2024,Vandalism,However improve poor reach discuss expect base. Necessary common hand week.,1036.68,0
C000034,Don Fields,P17358,WA,28/02/2025,Vandalism,"Garden cup wife street. Again understand read tough mission fill.
Always fire pattern. When rule pretty old candidate wear door. Point current most stock recently prevent.",2617.96,0
C000035,Nicole Mcgee,P93152,,01/11/2023,Rear-end Collision,"If cell support development today catch chance discuss. Financial hair area value until.
Tonight rather inside box play stay beyond. Material happy way.",2946.68,0
C000036,Michael Gordon,P61173,TAS,10/09/2023,Water Damage,Different do believe major generation might company vote. Themselves design already call each. Turn rock voice account adult general feeling.,4827.5,0
C000037,Daniel Small,P40452,WA,10/11/2024,Vandalism,Late vote everyone various price car. Support early population find picture. Form find generation rise.,3474.23,0
C000038,Richard Fleming,P54039,SA,"May 03, 2024",Hail Damage,Idea according late radio no. Establish culture nearly. Already crime wind nothing.,3953.32,0
C000039,Miranda Ochoa,P16979,SA,2023-06-16,Hail Damage,"Cover voice top process official serve art rest. Both lead likely as since interest war.
Account like during return live watch. Down enough form measure.",3097.79,1
C000040,Angela Roberts,P93393,TAS,"Nov 19, 2023",Rear-end Collision,Phone court memory thousand. World teacher follow before itself believe scene.,5199.36,1
C000041,Andrew Collins,P71405,NSW,2025-01-10,Rear-end Collision,"View sense dinner collection develop ago good. List interest industry hair scientist.
Visit federal add through focus attention wall. Away work foreign see effect.",,1
C000042,JESSICA EVERETT,P55043,QLD,"Aug 19, 2024",Water Damage,Interest forget own stop do major or. Rock yes like yard finally career. Remember indicate natural everybody.,5752.81,0
C000043,Joshua Moreno,P51215,TAS,"Sep 28, 2024",Vandalism,"Control lose marriage although threat administration. Beyond him all also.
Civil rock democratic nothing bit. Everything consider upon.",3471.66,0
C000044,Dana Esparza,P61125,TAS,2024-01-07,Rear-end Collision,"Fact reduce pass yard draw last. Design expect gun nearly.
Sea discover Congress threat also. Themselves know physical clearly dog. @#*!%H3uu",3273.55,0
C000045,Elizabeth Hamilton,P14632,TAS,2023-12-17,Water Damage,"Talk position audience husband arrive a meet. Mission once born work both act.
Game condition attention later family too. News least shoulder hotel it. Single surface my response.",5326.22,0
C000046,Terry Johnson,P21909,,"Apr 24, 2025",Water Damage,Pattern officer quality unit condition. Man answer city remember.,3227.16,0
C000047,Emily Johnson,P80454,TAS,"Jul 29, 2023",Vandalism,Pick future reduce. Past back whose church enter area policy.,,0
C000048,Caitlin Hawkins,P55570,TAS,"Jul 17, 2024",Vandalism,Affect story parent what. It left alone. College imagine even defense sort reveal beautiful. Something letter political sister.,3565.78,1
C000049,Robert Sharp,P81822,WA,10/06/2024,Water Damage,"Several thank both feel alone necessary look. Responsibility voice decide north cut scientist require. Station recognize I edge.
Total artist beautiful return.",4433.99,1
C000050,Jessica Aguilar,P83399,SA,"Jan 26, 2025",Rear-end Collision,Include result sign far surface. Carry worry finish mention ball must order. Wall too parent goal program real.,4106.03,0
C000051,Dr. Edward Foley,P10688,,"Feb 06, 2024",Hail Damage,Focus need Congress spend. Those seven buy teach mother. National happen member million interesting everybody fly.,4501.28,1
C000052,Matthew Cooper,P17554,NSW,"May 01, 2025",Rear-end Collision,"Give democratic really despite consumer leader. Down alone plant article sometimes.
Letter debate real get join. Box very page include.",3401.81,0
